Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
19;1000019;Форма банка (без печати работодателя);Ремонт;1;0.18;мужской;1;0;высшее;специалист;< 50;0;70;31;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000039;;Покупка автомобиля;0;;мужской;0;0;Высшее/Второе высшее/Ученая степень;другое;;0;53;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000059;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;16;29;Торговля;ООО;женат / замужем;1;1;1;0;0;0.15625;1;0;0;0;0.75;3;1;81;4;1;0;26;52;1;0;0;0;0;0;0
19;1000079;Поступление зарплаты на счет;Ремонт;1;0.54;женский;0;0;высшее;специалист;>250;0;13;43;Другое;ООО;холост / не замужем;0;0;0;0;0;0.024691358;0;0;0;0;0.4;2;3;79;5;0;0;18;76;1;0;0;0;0;0;0
19;1000099;Свободная форма с печатью работодателя;Ремонт;1;0.31;мужской;0;0;высшее;менеджер высшего звена;>250;0;53;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000119;Поступление зарплаты на счет;Покупка земли;0;0.15;мужской;1;0;высшее;специалист;>250;0;15;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000139;Форма банка (без печати работодателя);Лечение;0;0.29;мужской;0;0;среднее-специальное;специалист;< 50;0;111;47;Другое;ООО;женат / замужем;2;1;0;0;0;0.0952380952;1;1;0;0;0.4285714286;3;4;76;7;1;0;4;98;1;0;0;0;0;0;0
19;1000159;2НДФЛ;Ремонт;1;0.56;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000179;Поступление зарплаты на счет;Ремонт;0;0.39;мужской;2;0;второе высшее;менеджер среднего звена;>250;0;65;35;Другое;ООО;женат / замужем;3;3;0;0;0;0;1;2;2;2;0.6666666667;4;2;108;6;2;1;1;49;0;0;0;0;0;0;0
19;1000199;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;22;37;Другое;Иная форма;женат / замужем;2;2;0;0;0;0.0315789474;1;1;1;1;0.5;1;1;92;2;0;0;1;99;1;0;0;0;0;0;0
19;1000219;Поступление зарплаты на счет;Ремонт;0;0.5;мужской;0;0;незаконченное высшее;специалист;>250;1;79;26;Другое;ООО;холост / не замужем;1;1;1;1;1;0.5238095238;0;0;0;0;0.6;3;2;50;5;0;1;10;78;1;1;0;0;0;0;0
19;1000239;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000259;2НДФЛ;Покупка автомобиля;0;0.44;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;10;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000279;Поступление зарплаты на счет;Отпуск;1;0.31;женский;0;0;высшее;специалист;>250;0;187;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000299;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;мужской;0;0;высшее;менеджер высшего звена;>250;0;23;54;Сельское и лесное хозяйство;ЗАО;женат / замужем;2;1;1;0;0;0;1;0;0;0;0.5;6;6;207;12;1;1;6;129;0;0;0;0;0;0;0
19;1000319;Форма банка (без печати работодателя);Покупка автомобиля;1;0.07;мужской;0;0;высшее;специалист;>250;0;8;45;Другое;ОАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;46;1;0;1;65;65;0;0;0;0;0;0;0
19;1000339;Поступление зарплаты на счет;Покупка автомобиля;1;0.36;мужской;0;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>250;0;29;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000359;2НДФЛ;Ремонт;1;0.48;женский;2;0;среднее-специальное;специалист;>250;0;33;35;Торговля;ОАО;разведен / разведена;2;0;0;0;0;0;1;0;0;0;0.3333333333;3;6;76;9;3;1;6;90;0;0;0;0;0;0;0
19;1000379;Форма банка (без печати работодателя);Ремонт;0;0.34;мужской;1;0;высшее;другое;>250;0;98;30;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000399;Форма банка (без печати работодателя);Ремонт;1;0.54;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000419;Форма банка (без печати работодателя);Ремонт;1;0.41;мужской;0;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000439;Форма банка (без печати работодателя);Ремонт;1;0.25;женский;1;0;незаконченное высшее;специалист;>250;0;6;35;Торговля;ООО;женат / замужем;2;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;63;3;1;0;35;51;0;0;0;0;0;0;0
19;1000459;Свободная форма с печатью работодателя;Ремонт;1;0.35;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000479;2НДФЛ;Ремонт;1;0.11;мужской;0;0;высшее;специалист;< 50;0;45;27;Другое;ООО;женат / замужем;4;4;3;3;3;;;;;;;;;;;;;;;;;;;;;
19;1000499;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.5;мужской;2;0;высшее;менеджер среднего звена;>250;0;93;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000519;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.28;мужской;1;0;среднее-специальное;рабочий;>250;0;87;38;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000539;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.21;мужской;1;0;высшее;менеджер среднего звена;>250;3;10;26;Другое;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
19;1000559;2НДФЛ;Покупка автомобиля;1;0.59;мужской;0;0;высшее;специалист;>250;3;43;26;Другое;ЗАО;холост / не замужем;1;0;0;0;0;0.0393700787;0;0;0;0;0.2857142857;4;10;122;14;4;0;6;77;1;1;0;0;0;0;0
19;1000579;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;высшее;рабочий;>250;3;60;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000599;Поступление зарплаты на счет;Ремонт;0;0.26;женский;0;0;высшее;специалист;>250;1;89;28;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000619;Форма банка (без печати работодателя);Покупка автомобиля;1;0.38;женский;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000639;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.28;женский;1;0;среднее-специальное;специалист;>250;0;6;46;Другое;ОАО;женат / замужем;3;1;1;1;1;0;0;0;0;0;0.25;1;3;53;4;1;0;17;50;0;0;0;0;0;0;0
19;1000659;Форма банка (без печати работодателя);Ремонт;0;0.14;мужской;1;0;высшее;специалист;>250;0;281;45;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000679;Форма банка (без печати работодателя);Ремонт;1;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;< 50;0;17;44;Другое;Индивидуальный предприниматель;женат / замужем;1;0;0;0;0;0.0332409972;1;0;0;0;0.2105263158;4;15;349;19;2;0;17;117;1;1;1;1;0;0;0
19;1000699;Поступление зарплаты на счет;Ремонт;1;0.58;женский;0;0;среднее;рабочий;< 50;0;253;55;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000719;Форма банка (без печати работодателя);Покупка мебели;1;0.59;женский;0;0;среднее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000739;Форма банка (без печати работодателя);Покупка мебели;1;0.55;женский;0;0;высшее;специалист;>250;0;27;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000759;Поступление зарплаты на счет;Покупка автомобиля;1;0.46;мужской;0;0;среднее;торговый представитель;>250;0;41;26;Другое;ООО;холост / не замужем;0;0;0;0;0;0.0238095238;0;2;0;0;0.5;4;4;82;8;3;2;4;25;1;0;0;0;0;0;0
19;1000779;2НДФЛ;Другое;1;0.59;мужской;0;0;незаконченное высшее;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000799;Форма банка (без печати работодателя);Покупка автомобиля;0;0.18;мужской;0;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000819;2НДФЛ;Покупка недвижимости/ строительство;1;0.19;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;315;45;Другое;ОАО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
19;1000839;Форма банка (без печати работодателя);Ремонт;1;0.26;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;75;48;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000859;;Покупка автомобиля;0;;мужской;0;0;среднее;другое;;1;83;55;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000879;2НДФЛ;Покупка автомобиля;1;0.18;мужской;0;0;высшее;рабочий;>250;3;165;33;Торговля;ОАО;женат / замужем;1;1;1;0;0;0.0161290323;0;0;0;0;0.2857142857;2;5;61;7;1;0;15;91;1;0;0;0;0;0;0
19;1000899;Форма банка (без печати работодателя);Ремонт;1;0.39;женский;0;0;второе высшее;менеджер среднего звена;< 50;0;48;28;Информационные технологии;ООО;холост / не замужем;1;1;0;0;0;0;0;1;1;1;0.75;3;1;112;4;2;0;1;79;0;0;0;0;0;0;0
19;1000919;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;среднее-специальное;специалист;< 50;0;8;57;Другое;ООО;женат / замужем;2;2;2;1;1;0.0576923077;1;0;0;0;0.5;3;1;147;4;2;0;30;87;1;0;0;0;0;0;0
19;1000939;2НДФЛ;Обучение;0;0.28;мужской;0;0;незаконченное высшее;специалист;>250;0;23;28;Торговля;ЗАО;холост / не замужем;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
19;1000959;Поступление зарплаты на счет;Покупка автомобиля;0;0.43;женский;1;0;высшее;рабочий;>250;0;22;28;Другое;ОАО;гражданский брак;1;1;1;1;1;0;0;0;0;0;1;2;0;21;2;1;0;15;15;0;0;0;0;0;0;0
19;1000979;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.15;мужской;0;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>250;0;9;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1000999;Форма банка (без печати работодателя);Ремонт;1;0.18;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;140;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001019;Поступление зарплаты на счет;Покупка автомобиля;0;0.23;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001039;Форма банка (без печати работодателя);Покупка бытовой техники;0;0.11;мужской;1;0;среднее-специальное;рабочий;< 50;0;71;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001059;Форма банка (без печати работодателя);Ремонт;1;0.5;женский;1;0;высшее;специалист;< 50;0;13;41;Торговля;Индивидуальный предприниматель;гражданский брак;1;0;0;0;0;0.0588235294;1;0;0;0;0;0;10;112;10;0;1;22;102;1;1;0;0;0;0;0
19;1001079;Форма банка (без печати работодателя);Ремонт;1;0.34;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001099;Форма банка (без печати работодателя);Ремонт;0;0.42;женский;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001119;Форма банка (без печати работодателя);Ремонт;0;0.42;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001139;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.43;мужской;0;0;высшее;специалист;>250;0;42;24;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001159;2НДФЛ;Ремонт;1;0.33;мужской;0;0;высшее;менеджер среднего звена;< 50;0;20;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001179;2НДФЛ;Другое;1;0.38;женский;0;0;среднее;специалист;>250;0;31;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001199;Поступление зарплаты на счет;Отпуск;1;0.55;женский;0;0;высшее;вспомогательный персонал;>250;0;25;26;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001219;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.59;женский;1;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1001239;Поступление зарплаты на счет;Ремонт;0;0.48;женский;0;0;высшее;специалист;>250;1;41;39;Другое;ООО;разведен / разведена;1;1;0;0;0;0.0542986425;0;0;0;0;0.3333333333;3;6;209;9;2;0;10;87;1;0;0;0;0;0;0
19;1001259;2НДФЛ;Ремонт;0;0.27;женский;0;0;высшее;специалист;>250;0;72;27;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
