target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,140000,0,0,0,34.218548387,38.497103077,4.0601092896,,,10.056007186,7
0,OTHER,advanced,Corporate,21611,0,1,,,33.333445617,1.711527809,,,7.9726775956,15
0,OTHER,elementary,VIP,146841,0,1,0,30.530913978,36.531072685,0.5776480275,0,0,7.737704918,17
0,OTHER,elementary,Corporate,102915,0,1,2,1.174484767,54.064218879,1.4587394266,0,0,8.8888764129,21
0,2NDFL,elementary,Corporate,51581,0,1,,,29.050445393,0.5805000374,,,6.2,26
0,OTHER,elementary,Corporate,39713,0,1,0,1362.5046819,25.326611273,0.8484691968,1,1,5.2145894154,28
0,2NDFL,elementary,,97414,0,0,2,-0.59563172,32.515068493,10.178082192,1,1,3.6657534247,35
0,2NDFL,high,,27697,0,0,0,1.5057123656,26.873972603,3.5835616438,0,0,6.5726027397,39
0,OTHER,advanced,Corporate,25448,0,1,,,55.428961749,7.6612021858,,,9.922853507,42
0,OTHER,elementary,Corporate,102207,0,0,1,0.0489023297,34.24109589,8.8737405494,2,2,10.282191781,50
0,2NDFL,elementary,,34319,0,0,,,38.950684932,4.9191930534,,,11.019178082,57
0,2NDFL,elementary,,147900,0,0,,,37.890410959,8.0602739726,,,12.287671233,59
0,OTHER,elementary,Corporate,47639,0,1,0,22.800582437,33.739726027,0.2493150685,1,1,10.44109589,60
0,OTHER,elementary,Corporate,66175,0,1,0,7.5651433692,35.819672131,3.1020959653,0,0,10.773328842,66
0,2NDFL,advanced,Corporate,63617,0,1,,,26.008219178,0.4630136986,,,1.4329590538,67
0,OTHER,elementary,Corporate,44153,0,0,,,31.857534247,0.4273972603,,,8.9123287671,83
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,95
0,2NDFL,advanced,,19323,0,0,2,0.7904121864,52.672131148,12.969945355,0,0,7.2329590538,96
0,OTHER,elementary,Corporate,119790,0,1,0,0.5337365591,41.178164533,5.5644659031,0,0,10.701452205,101
0,OTHER,elementary,Corporate,37018,0,1,1,1.3049955197,34.575342466,2.2849315068,0,0,4.3448461711,114
0,OTHER,elementary,,150000,0,0,1,0.6687724014,29.592821319,2.9763829628,1,1,9.001040497,120
0,OTHER,elementary,Corporate,52199,0,1,1,2.3384856631,36.707650273,6.4442248671,0,0,11.548334456,127
0,2NDFL,elementary,,,0,1,6,0.3811827957,31.187341867,2.8558350176,0,0,7.9016393443,139
0,OTHER,elementary,,50000,0,0,0,4.2190636201,52.774698705,1.2910921476,1,1,7.6794520548,146
0,OTHER,elementary,,50000,0,0,0,4.2190636201,52.774698705,1.2910921476,1,1,7.6794520548,147
0,2NDFL,elementary,,114108,0,0,1,1.275,48.235556554,0.956868029,0,0,3.0493150685,148
0,OTHER,beginner,Corporate,150903,0,1,0,0.6006272401,27.87704918,0.3579234973,0,0,7.3620330863,150
0,2NDFL,elementary,,,0,1,,,26.4,0.8864061681,,,6.2630136986,154
0,2NDFL,beginner,,34800,0,0,0,,43.942622951,1.0967737106,0,1,7.1515682312,171
0,2NDFL,advanced,,12142,0,0,0,22.053987455,44.297814208,3.3661202186,1,2,8.0027322404,173
0,OTHER,elementary,Corporate,236191,0,1,,,32.353424658,1.4246575342,,,10.673972603,174
0,OTHER,advanced,,30000,0,0,1,0.7871415771,41.832876712,2.4054794521,1,1,11,175
0,OTHER,advanced,,30000,0,0,1,0.7871415771,41.832876712,2.4054794521,1,1,11,176
0,2NDFL,elementary,,43457,0,0,0,46.477016129,27.868852459,0.6857923497,1,1,7.6308630886,192
0,OTHER,elementary,,50000,0,0,1,0.7034050179,29.236342541,3.0116850064,0,0,7.2089452803,194
0,OTHER,elementary,,50000,0,0,1,0.7034050179,29.236342541,3.0116850064,0,0,7.2089452803,195
0,OTHER,elementary,,131000,0,0,,,45.952256905,2.3988322479,,,0.9385582753,198
0,OTHER,advanced,Corporate,46507,0,1,0,,45.81369863,0.5589041096,1,1,0.7748184744,201
0,OTHER,elementary,Corporate,119048,0,1,,,47.375342466,10.509589041,,,1.9589041096,202
0,OTHER,elementary,VIP,566707,1,1,0,57.735909498,37.303473314,0.5664870125,0,0,11.513661202,203
